DATA_TYPE|CANCER_GROUP_SITE|YEAR|SEX|AGE_GROUP_YEARS|COUNT
Actual|Acute lymphoblastic leukaemia|2019|Males|00–04|69
Actual|Acute lymphoblastic leukaemia|2019|Males|05–09|31
Actual|Acute lymphoblastic leukaemia|2019|Males|10–14|16
Actual|Acute lymphoblastic leukaemia|2019|Males|15–19|19
Actual|Acute lymphoblastic leukaemia|2019|Males|20–24|13
Actual|Acute lymphoblastic leukaemia|2019|Males|25–29|8
Actual|Acute lymphoblastic leukaemia|2019|Males|30–34|4
Actual|Acute lymphoblastic leukaemia|2019|Males|35–39|11
Actual|Acute lymphoblastic leukaemia|2019|Males|40–44|9
Actual|Acute lymphoblastic leukaemia|2019|Males|45–49|5
Actual|Acute lymphoblastic leukaemia|2019|Males|50–54|4
Actual|Acute lymphoblastic leukaemia|2019|Males|55–59|3
Actual|Acute lymphoblastic leukaemia|2019|Males|60–64|5
Actual|Acute lymphoblastic leukaemia|2019|Males|65–69|9
Actual|Acute lymphoblastic leukaemia|2019|Males|70–74|8
Actual|Acute lymphoblastic leukaemia|2019|Males|75–79|7
Actual|Acute lymphoblastic leukaemia|2019|Males|80–84|4
Actual|Acute lymphoblastic leukaemia|2019|Males|85–89|0
Actual|Acute lymphoblastic leukaemia|2019|Males|90+|0
Actual|Acute lymphoblastic leukaemia|2019|Males|All ages combined|225
Projections|Acute lymphoblastic leukaemia|2020|Males|00–04|52
Projections|Acute lymphoblastic leukaemia|2020|Males|05–09|29
Projections|Acute lymphoblastic leukaemia|2020|Males|10–14|21
Projections|Acute lymphoblastic leukaemia|2020|Males|15–19|17
Projections|Acute lymphoblastic leukaemia|2020|Males|20–24|11
Projections|Acute lymphoblastic leukaemia|2020|Males|25–29|7
Projections|Acute lymphoblastic leukaemia|2020|Males|30–34|4
Projections|Acute lymphoblastic leukaemia|2020|Males|35–39|10
Projections|Acute lymphoblastic leukaemia|2020|Males|40–44|6
Projections|Acute lymphoblastic leukaemia|2020|Males|45–49|10
Projections|Acute lymphoblastic leukaemia|2020|Males|50–54|9
Projections|Acute lymphoblastic leukaemia|2020|Males|55–59|5
Projections|Acute lymphoblastic leukaemia|2020|Males|60–64|6
Projections|Acute lymphoblastic leukaemia|2020|Males|65–69|9
Projections|Acute lymphoblastic leukaemia|2020|Males|70–74|8
Projections|Acute lymphoblastic leukaemia|2020|Males|75–79|7
Projections|Acute lymphoblastic leukaemia|2020|Males|80–84|5
Projections|Acute lymphoblastic leukaemia|2020|Males|85–89|1
Projections|Acute lymphoblastic leukaemia|2020|Males|90+|0
Projections|Acute lymphoblastic leukaemia|2020|Males|All ages combined|217
Projections|Acute lymphoblastic leukaemia|2021|Males|00–04|51
Projections|Acute lymphoblastic leukaemia|2021|Males|05–09|28
Projections|Acute lymphoblastic leukaemia|2021|Males|10–14|22
Projections|Acute lymphoblastic leukaemia|2021|Males|15–19|17
Projections|Acute lymphoblastic leukaemia|2021|Males|20–24|11
Projections|Acute lymphoblastic leukaemia|2021|Males|25–29|6
Projections|Acute lymphoblastic leukaemia|2021|Males|30–34|4
Projections|Acute lymphoblastic leukaemia|2021|Males|35–39|10
Projections|Acute lymphoblastic leukaemia|2021|Males|40–44|6
Projections|Acute lymphoblastic leukaemia|2021|Males|45–49|10
Projections|Acute lymphoblastic leukaemia|2021|Males|50–54|9
Projections|Acute lymphoblastic leukaemia|2021|Males|55–59|5
Projections|Acute lymphoblastic leukaemia|2021|Males|60–64|5
Projections|Acute lymphoblastic leukaemia|2021|Males|65–69|9
Projections|Acute lymphoblastic leukaemia|2021|Males|70–74|8
Projections|Acute lymphoblastic leukaemia|2021|Males|75–79|8
Projections|Acute lymphoblastic leukaemia|2021|Males|80–84|5
Projections|Acute lymphoblastic leukaemia|2021|Males|85–89|1
Projections|Acute lymphoblastic leukaemia|2021|Males|90+|0
Projections|Acute lymphoblastic leukaemia|2021|Males|All ages combined|215
Projections|Acute lymphoblastic leukaemia|2022|Males|00–04|50
Projections|Acute lymphoblastic leukaemia|2022|Males|05–09|27
Projections|Acute lymphoblastic leukaemia|2022|Males|10–14|22
Projections|Acute lymphoblastic leukaemia|2022|Males|15–19|17
Projections|Acute lymphoblastic leukaemia|2022|Males|20–24|11
Projections|Acute lymphoblastic leukaemia|2022|Males|25–29|6
Projections|Acute lymphoblastic leukaemia|2022|Males|30–34|3
Projections|Acute lymphoblastic leukaemia|2022|Males|35–39|11
Projections|Acute lymphoblastic leukaemia|2022|Males|40–44|7
Projections|Acute lymphoblastic leukaemia|2022|Males|45–49|11
Projections|Acute lymphoblastic leukaemia|2022|Males|50–54|10
Projections|Acute lymphoblastic leukaemia|2022|Males|55–59|4
Projections|Acute lymphoblastic leukaemia|2022|Males|60–64|5
Projections|Acute lymphoblastic leukaemia|2022|Males|65–69|9
Projections|Acute lymphoblastic leukaemia|2022|Males|70–74|7
Projections|Acute lymphoblastic leukaemia|2022|Males|75–79|9
Projections|Acute lymphoblastic leukaemia|2022|Males|80–84|5
Projections|Acute lymphoblastic leukaemia|2022|Males|85–89|1
Projections|Acute lymphoblastic leukaemia|2022|Males|90+|0
Projections|Acute lymphoblastic leukaemia|2022|Males|All ages combined|215
Projections|Acute lymphoblastic leukaemia|2023|Males|00–04|49
Projections|Acute lymphoblastic leukaemia|2023|Males|05–09|26
Projections|Acute lymphoblastic leukaemia|2023|Males|10–14|23
Projections|Acute lymphoblastic leukaemia|2023|Males|15–19|18
Projections|Acute lymphoblastic leukaemia|2023|Males|20–24|11
Projections|Acute lymphoblastic leukaemia|2023|Males|25–29|6
Projections|Acute lymphoblastic leukaemia|2023|Males|30–34|3
Projections|Acute lymphoblastic leukaemia|2023|Males|35–39|11
Projections|Acute lymphoblastic leukaemia|2023|Males|40–44|7
Projections|Acute lymphoblastic leukaemia|2023|Males|45–49|11
Projections|Acute lymphoblastic leukaemia|2023|Males|50–54|10
Projections|Acute lymphoblastic leukaemia|2023|Males|55–59|4
Projections|Acute lymphoblastic leukaemia|2023|Males|60–64|5
Projections|Acute lymphoblastic leukaemia|2023|Males|65–69|9
Projections|Acute lymphoblastic leukaemia|2023|Males|70–74|7
Projections|Acute lymphoblastic leukaemia|2023|Males|75–79|10
Projections|Acute lymphoblastic leukaemia|2023|Males|80–84|6
Projections|Acute lymphoblastic leukaemia|2023|Males|85–89|1
Projections|Acute lymphoblastic leukaemia|2023|Males|90+|0
Projections|Acute lymphoblastic leukaemia|2023|Males|All ages combined|217
Actual|Acute lymphoblastic leukaemia|2019|Females|00–04|50
Actual|Acute lymphoblastic leukaemia|2019|Females|05–09|28
Actual|Acute lymphoblastic leukaemia|2019|Females|10–14|8
Actual|Acute lymphoblastic leukaemia|2019|Females|15–19|8
Actual|Acute lymphoblastic leukaemia|2019|Females|20–24|8
Actual|Acute lymphoblastic leukaemia|2019|Females|25–29|7
Actual|Acute lymphoblastic leukaemia|2019|Females|30–34|5
Actual|Acute lymphoblastic leukaemia|2019|Females|35–39|2
Actual|Acute lymphoblastic leukaemia|2019|Females|40–44|10
Actual|Acute lymphoblastic leukaemia|2019|Females|45–49|6
Actual|Acute lymphoblastic leukaemia|2019|Females|50–54|6
Actual|Acute lymphoblastic leukaemia|2019|Females|55–59|7
Actual|Acute lymphoblastic leukaemia|2019|Females|60–64|1
Actual|Acute lymphoblastic leukaemia|2019|Females|65–69|12
Actual|Acute lymphoblastic leukaemia|2019|Females|70–74|6
Actual|Acute lymphoblastic leukaemia|2019|Females|75–79|4
Actual|Acute lymphoblastic leukaemia|2019|Females|80–84|2
Actual|Acute lymphoblastic leukaemia|2019|Females|85–89|1
Actual|Acute lymphoblastic leukaemia|2019|Females|90+|1
Actual|Acute lymphoblastic leukaemia|2019|Females|All ages combined|172
Projections|Acute lymphoblastic leukaemia|2020|Females|00–04|48
Projections|Acute lymphoblastic leukaemia|2020|Females|05–09|29
Projections|Acute lymphoblastic leukaemia|2020|Females|10–14|11
Projections|Acute lymphoblastic leukaemia|2020|Females|15–19|9
Projections|Acute lymphoblastic leukaemia|2020|Females|20–24|6
Projections|Acute lymphoblastic leukaemia|2020|Females|25–29|2
Projections|Acute lymphoblastic leukaemia|2020|Females|30–34|5
Projections|Acute lymphoblastic leukaemia|2020|Females|35–39|5
Projections|Acute lymphoblastic leukaemia|2020|Females|40–44|7
Projections|Acute lymphoblastic leukaemia|2020|Females|45–49|7
Projections|Acute lymphoblastic leukaemia|2020|Females|50–54|5
Projections|Acute lymphoblastic leukaemia|2020|Females|55–59|8
Projections|Acute lymphoblastic leukaemia|2020|Females|60–64|4
Projections|Acute lymphoblastic leukaemia|2020|Females|65–69|8
Projections|Acute lymphoblastic leukaemia|2020|Females|70–74|5
Projections|Acute lymphoblastic leukaemia|2020|Females|75–79|6
Projections|Acute lymphoblastic leukaemia|2020|Females|80–84|3
Projections|Acute lymphoblastic leukaemia|2020|Females|85–89|4
Projections|Acute lymphoblastic leukaemia|2020|Females|90+|3
