DATA_TYPE|CANCER_GROUP_SITE|YEAR|SEX|STATE_OR_TERRITORY|COUNT
Incidence|Acute lymphoblastic leukaemia|2019|Males|New South Wales|91
Incidence|Acute lymphoblastic leukaemia|2019|Males|Victoria|49
Incidence|Acute lymphoblastic leukaemia|2019|Males|Queensland|32
Incidence|Acute lymphoblastic leukaemia|2019|Males|Western Australia|25
Incidence|Acute lymphoblastic leukaemia|2019|Males|South Australia|12
Incidence|Acute lymphoblastic leukaemia|2019|Males|Tasmania|6
Incidence|Acute lymphoblastic leukaemia|2019|Males|Australian Capital Territory|6
Incidence|Acute lymphoblastic leukaemia|2019|Males|Northern Territory|1
Incidence|Acute lymphoblastic leukaemia|2019|Males|Australia|225
Incidence|Acute lymphoblastic leukaemia|2019|Females|New South Wales|64
Incidence|Acute lymphoblastic leukaemia|2019|Females|Victoria|44
Incidence|Acute lymphoblastic leukaemia|2019|Females|Queensland|31
Incidence|Acute lymphoblastic leukaemia|2019|Females|Western Australia|13
Incidence|Acute lymphoblastic leukaemia|2019|Females|South Australia|11
Incidence|Acute lymphoblastic leukaemia|2019|Females|Tasmania|6
Incidence|Acute lymphoblastic leukaemia|2019|Females|Australian Capital Territory|4
Incidence|Acute lymphoblastic leukaemia|2019|Females|Northern Territory|1
Incidence|Acute lymphoblastic leukaemia|2019|Females|Australia|172
Incidence|Acute lymphoblastic leukaemia|2019|Persons|New South Wales|155
Incidence|Acute lymphoblastic leukaemia|2019|Persons|Victoria|93
Incidence|Acute lymphoblastic leukaemia|2019|Persons|Queensland|63
Incidence|Acute lymphoblastic leukaemia|2019|Persons|Western Australia|38
Incidence|Acute lymphoblastic leukaemia|2019|Persons|South Australia|23
Incidence|Acute lymphoblastic leukaemia|2019|Persons|Tasmania|12
Incidence|Acute lymphoblastic leukaemia|2019|Persons|Australian Capital Territory|9
Incidence|Acute lymphoblastic leukaemia|2019|Persons|Northern Territory|2
Incidence|Acute lymphoblastic leukaemia|2019|Persons|Australia|397
Incidence|Acute myeloid leukaemia|2019|Males|New South Wales|236
Incidence|Acute myeloid leukaemia|2019|Males|Victoria|167
Incidence|Acute myeloid leukaemia|2019|Males|Queensland|137
Incidence|Acute myeloid leukaemia|2019|Males|Western Australia|65
Incidence|Acute myeloid leukaemia|2019|Males|South Australia|52
Incidence|Acute myeloid leukaemia|2019|Males|Tasmania|21
Incidence|Acute myeloid leukaemia|2019|Males|Australian Capital Territory|9
Incidence|Acute myeloid leukaemia|2019|Males|Northern Territory|4
Incidence|Acute myeloid leukaemia|2019|Males|Australia|693
Incidence|Acute myeloid leukaemia|2019|Females|New South Wales|177
Incidence|Acute myeloid leukaemia|2019|Females|Victoria|113
Incidence|Acute myeloid leukaemia|2019|Females|Queensland|101
Incidence|Acute myeloid leukaemia|2019|Females|Western Australia|55
Incidence|Acute myeloid leukaemia|2019|Females|South Australia|43
Incidence|Acute myeloid leukaemia|2019|Females|Tasmania|14
Incidence|Acute myeloid leukaemia|2019|Females|Australian Capital Territory|8
Incidence|Acute myeloid leukaemia|2019|Females|Northern Territory|2
Incidence|Acute myeloid leukaemia|2019|Females|Australia|513
Incidence|Acute myeloid leukaemia|2019|Persons|New South Wales|413
