DATA_TYPE|CANCER_GROUP_SITE|YEAR|SEX|AGE_GROUP_YEARS|COUNT
Actual|Acute lymphoblastic leukaemia|2019|Males|00–04|1
Actual|Acute lymphoblastic leukaemia|2019|Males|05–09|1
Actual|Acute lymphoblastic leukaemia|2019|Males|10–14|1
Actual|Acute lymphoblastic leukaemia|2019|Males|15–19|6
Actual|Acute lymphoblastic leukaemia|2019|Males|20–24|7
Actual|Acute lymphoblastic leukaemia|2019|Males|25–29|1
Actual|Acute lymphoblastic leukaemia|2019|Males|30–34|1
Actual|Acute lymphoblastic leukaemia|2019|Males|35–39|2
Actual|Acute lymphoblastic leukaemia|2019|Males|40–44|3
Actual|Acute lymphoblastic leukaemia|2019|Males|45–49|3
Actual|Acute lymphoblastic leukaemia|2019|Males|50–54|3
Actual|Acute lymphoblastic leukaemia|2019|Males|55–59|5
Actual|Acute lymphoblastic leukaemia|2019|Males|60–64|2
Actual|Acute lymphoblastic leukaemia|2019|Males|65–69|10
Actual|Acute lymphoblastic leukaemia|2019|Males|70–74|8
Actual|Acute lymphoblastic leukaemia|2019|Males|75–79|1
Actual|Acute lymphoblastic leukaemia|2019|Males|80–84|4
Actual|Acute lymphoblastic leukaemia|2019|Males|85–89|3
Actual|Acute lymphoblastic leukaemia|2019|Males|90+|0
Actual|Acute lymphoblastic leukaemia|2019|Males|All ages combined|62
Actual|Acute lymphoblastic leukaemia|2020|Males|00–04|4
Actual|Acute lymphoblastic leukaemia|2020|Males|05–09|0
Actual|Acute lymphoblastic leukaemia|2020|Males|10–14|1
Actual|Acute lymphoblastic leukaemia|2020|Males|15–19|1
Actual|Acute lymphoblastic leukaemia|2020|Males|20–24|1
Actual|Acute lymphoblastic leukaemia|2020|Males|25–29|1
Actual|Acute lymphoblastic leukaemia|2020|Males|30–34|2
Actual|Acute lymphoblastic leukaemia|2020|Males|35–39|1
Actual|Acute lymphoblastic leukaemia|2020|Males|40–44|0
Actual|Acute lymphoblastic leukaemia|2020|Males|45–49|1
Actual|Acute lymphoblastic leukaemia|2020|Males|50–54|4
Actual|Acute lymphoblastic leukaemia|2020|Males|55–59|3
Actual|Acute lymphoblastic leukaemia|2020|Males|60–64|5
Actual|Acute lymphoblastic leukaemia|2020|Males|65–69|4
Actual|Acute lymphoblastic leukaemia|2020|Males|70–74|8
Actual|Acute lymphoblastic leukaemia|2020|Males|75–79|9
Actual|Acute lymphoblastic leukaemia|2020|Males|80–84|6
Actual|Acute lymphoblastic leukaemia|2020|Males|85–89|1
Actual|Acute lymphoblastic leukaemia|2020|Males|90+|1
Actual|Acute lymphoblastic leukaemia|2020|Males|All ages combined|53
Actual|Acute lymphoblastic leukaemia|2021|Males|00–04|0
Actual|Acute lymphoblastic leukaemia|2021|Males|05–09|3
Actual|Acute lymphoblastic leukaemia|2021|Males|10–14|2
Actual|Acute lymphoblastic leukaemia|2021|Males|15–19|3
Actual|Acute lymphoblastic leukaemia|2021|Males|20–24|4
Actual|Acute lymphoblastic leukaemia|2021|Males|25–29|2
Actual|Acute lymphoblastic leukaemia|2021|Males|30–34|2
Actual|Acute lymphoblastic leukaemia|2021|Males|35–39|1
Actual|Acute lymphoblastic leukaemia|2021|Males|40–44|3
Actual|Acute lymphoblastic leukaemia|2021|Males|45–49|3
Actual|Acute lymphoblastic leukaemia|2021|Males|50–54|3
Actual|Acute lymphoblastic leukaemia|2021|Males|55–59|1
Actual|Acute lymphoblastic leukaemia|2021|Males|60–64|4
Actual|Acute lymphoblastic leukaemia|2021|Males|65–69|1
Actual|Acute lymphoblastic leukaemia|2021|Males|70–74|5
Actual|Acute lymphoblastic leukaemia|2021|Males|75–79|4
Actual|Acute lymphoblastic leukaemia|2021|Males|80–84|4
Actual|Acute lymphoblastic leukaemia|2021|Males|85–89|7
Actual|Acute lymphoblastic leukaemia|2021|Males|90+|1
Actual|Acute lymphoblastic leukaemia|2021|Males|All ages combined|53
Projections|Acute lymphoblastic leukaemia|2022|Males|00–04|2
Projections|Acute lymphoblastic leukaemia|2022|Males|05–09|0
Projections|Acute lymphoblastic leukaemia|2022|Males|10–14|1
Projections|Acute lymphoblastic leukaemia|2022|Males|15–19|2
Projections|Acute lymphoblastic leukaemia|2022|Males|20–24|4
Projections|Acute lymphoblastic leukaemia|2022|Males|25–29|0
Projections|Acute lymphoblastic leukaemia|2022|Males|30–34|2
Projections|Acute lymphoblastic leukaemia|2022|Males|35–39|2
Projections|Acute lymphoblastic leukaemia|2022|Males|40–44|3
Projections|Acute lymphoblastic leukaemia|2022|Males|45–49|3
Projections|Acute lymphoblastic leukaemia|2022|Males|50–54|5
Projections|Acute lymphoblastic leukaemia|2022|Males|55–59|3
Projections|Acute lymphoblastic leukaemia|2022|Males|60–64|4
Projections|Acute lymphoblastic leukaemia|2022|Males|65–69|3
Projections|Acute lymphoblastic leukaemia|2022|Males|70–74|7
Projections|Acute lymphoblastic leukaemia|2022|Males|75–79|4
Projections|Acute lymphoblastic leukaemia|2022|Males|80–84|5
Projections|Acute lymphoblastic leukaemia|2022|Males|85–89|4
Projections|Acute lymphoblastic leukaemia|2022|Males|90+|0
Projections|Acute lymphoblastic leukaemia|2022|Males|All ages combined|54
Projections|Acute lymphoblastic leukaemia|2023|Males|00–04|2
Projections|Acute lymphoblastic leukaemia|2023|Males|05–09|0
Projections|Acute lymphoblastic leukaemia|2023|Males|10–14|1
Projections|Acute lymphoblastic leukaemia|2023|Males|15–19|2
Projections|Acute lymphoblastic leukaemia|2023|Males|20–24|5
Projections|Acute lymphoblastic leukaemia|2023|Males|25–29|0
Projections|Acute lymphoblastic leukaemia|2023|Males|30–34|2
Projections|Acute lymphoblastic leukaemia|2023|Males|35–39|3
Projections|Acute lymphoblastic leukaemia|2023|Males|40–44|3
Projections|Acute lymphoblastic leukaemia|2023|Males|45–49|3
Projections|Acute lymphoblastic leukaemia|2023|Males|50–54|5
Projections|Acute lymphoblastic leukaemia|2023|Males|55–59|3
Projections|Acute lymphoblastic leukaemia|2023|Males|60–64|4
Projections|Acute lymphoblastic leukaemia|2023|Males|65–69|2
Projections|Acute lymphoblastic leukaemia|2023|Males|70–74|7
Projections|Acute lymphoblastic leukaemia|2023|Males|75–79|3
Projections|Acute lymphoblastic leukaemia|2023|Males|80–84|4
Projections|Acute lymphoblastic leukaemia|2023|Males|85–89|4
Projections|Acute lymphoblastic leukaemia|2023|Males|90+|0
Projections|Acute lymphoblastic leukaemia|2023|Males|All ages combined|53
Actual|Acute lymphoblastic leukaemia|2019|Females|00–04|1
Actual|Acute lymphoblastic leukaemia|2019|Females|05–09|1
Actual|Acute lymphoblastic leukaemia|2019|Females|10–14|0
Actual|Acute lymphoblastic leukaemia|2019|Females|15–19|3
Actual|Acute lymphoblastic leukaemia|2019|Females|20–24|0
Actual|Acute lymphoblastic leukaemia|2019|Females|25–29|3
Actual|Acute lymphoblastic leukaemia|2019|Females|30–34|0
Actual|Acute lymphoblastic leukaemia|2019|Females|35–39|1
Actual|Acute lymphoblastic leukaemia|2019|Females|40–44|1
