SURVIVAL_TYPE|CANCER_GROUP_SITE|PERIOD_YEARS|SEX|YEARS_AFTER_DIAGNOSIS|AGE_GROUP_YEARS|SURVIVAL|95_CI_LOWER_BOUND|95_CI_UPPER_BOUND
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|00–04|0.962|0.931|0.979
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|05–09|0.987|0.949|0.997
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|10–14|0.94|0.871|0.973
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|15–19|0.927|0.845|0.967
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|20–24|0.899|0.788|0.953
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|25–29|0.884|0.743|0.95
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|30–34|0.885|0.686|0.961
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|35–39|0.819|0.658|0.909
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|40–44|0.778|0.572|0.893
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|45–49|0.902|0.76|0.962
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|50–54|0.837|0.688|0.919
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|55–59|0.744|0.567|0.858
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|60–64|0.831|0.661|0.92
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|65–69|0.511|0.344|0.655
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|70–74|0.501|0.338|0.643
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|75–79|0.565|0.366|0.723
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|80–84|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|85+|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|1|All ages combined|0.862|0.84|0.881
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|00–04|0.955|0.922|0.974
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|05–09|0.981|0.941|0.994
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|10–14|0.9|0.823|0.945
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|15–19|0.905|0.818|0.951
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|20–24|0.793|0.664|0.877
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|25–29|0.838|0.69|0.919
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|30–34|0.777|0.57|0.893
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|35–39|0.79|0.624|0.889
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|40–44|0.653|0.452|0.795
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|45–49|0.809|0.638|0.905
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|50–54|0.73|0.574|0.836
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|55–59|0.611|0.435|0.748
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|60–64|0.617|0.442|0.752
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|65–69|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|70–74|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|75–79|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|80–84|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|85+|||
